epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4269,1.6462,3.53958,1.55562,0.01538,0.54667,0.13156,0.08048,1.28123,3.67806,1.33827,7.777e-05,7.777e-05,7.777e-05
2,75.8599,1.31319,3.23423,1.33976,0.02163,0.89778,0.2792,0.17942,1.2537,3.34731,1.17978,0.000165,0.000165,0.000165
3,112.524,1.27843,2.63838,1.27958,0.01859,0.93778,0.32046,0.23729,1.13666,3.10673,1.09126,0.000250471,0.000250471,0.000250471
4,152.738,1.26716,2.32548,1.3057,0.21608,0.64444,0.32304,0.23294,1.21582,2.93085,1.12291,0.000334181,0.000334181,0.000334181
5,190.858,1.2623,2.08294,1.29178,0.50087,0.12,0.29758,0.21121,1.19476,2.80879,1.15341,0.000416132,0.000416132,0.000416132
6,227.547,1.25933,1.93309,1.30605,0.57557,0.54667,0.4446,0.31869,1.25562,2.3896,1.18069,0.000496323,0.000496323,0.000496323
7,263.352,1.23572,1.81791,1.26959,0.48565,0.63103,0.62734,0.42818,1.32565,2.00844,1.18197,0.000574754,0.000574754,0.000574754
8,299.59,1.2016,1.67797,1.2667,0.5821,0.6217,0.65416,0.42945,1.3349,1.63963,1.245,0.000651425,0.000651425,0.000651425
9,336.151,1.18479,1.57269,1.22288,0.91352,0.54606,0.67169,0.4232,1.48337,1.98609,1.27802,0.000726336,0.000726336,0.000726336
10,374.545,1.15438,1.44149,1.18852,0.5215,0.58839,0.56322,0.38657,1.32257,2.18711,1.28992,0.000799488,0.000799488,0.000799488
11,412.334,1.16536,1.35461,1.2062,0.61932,0.58227,0.66796,0.4575,1.30009,2.22769,1.21758,0.00087088,0.00087088,0.00087088
12,449.36,1.13326,1.3117,1.17602,0.48715,0.44909,0.49737,0.33992,1.27188,2.4476,1.24041,0.000940511,0.000940511,0.000940511
13,488.767,1.16955,1.26724,1.1951,0.39787,0.31111,0.35176,0.21493,1.50118,3.17418,1.54948,0.000979013,0.000979013,0.000979013
14,528.379,1.1011,1.14282,1.16107,0.5052,0.39177,0.47151,0.3049,1.48736,2.95075,1.37745,0.000968014,0.000968014,0.000968014
15,571.642,1.11687,1.11589,1.14988,0.72698,0.7814,0.85219,0.58924,1.33019,1.77441,1.15083,0.000957015,0.000957015,0.000957015
16,613.652,1.10813,1.09174,1.16356,0.75739,0.82294,0.90871,0.62363,1.24599,1.53451,1.15125,0.000946016,0.000946016,0.000946016
17,653.829,1.07157,1.03756,1.12948,0.77438,0.83617,0.88134,0.58544,1.28729,1.50291,1.14727,0.000935018,0.000935018,0.000935018
18,694.364,1.12173,1.04288,1.15303,0.84321,0.781,0.81884,0.55151,1.33753,1.57398,1.22319,0.000924019,0.000924019,0.000924019
19,736.154,1.09103,1.02496,1.14705,0.73066,0.86288,0.86374,0.5934,1.27226,1.34768,1.14021,0.00091302,0.00091302,0.00091302
20,777.018,1.02917,0.97792,1.11601,0.79828,0.88811,0.90318,0.61778,1.28834,1.16394,1.17951,0.000902021,0.000902021,0.000902021
21,814.513,1.0458,0.94958,1.1371,0.80048,0.89331,0.89085,0.62915,1.16826,1.06398,1.14122,0.000891022,0.000891022,0.000891022
22,852.702,1.01907,0.90968,1.09573,0.81727,0.92064,0.89939,0.6542,1.15763,1.11897,1.10974,0.000880023,0.000880023,0.000880023
23,890.53,1.05439,0.91144,1.11998,0.82436,0.92117,0.91876,0.62866,1.23467,1.16313,1.16649,0.000869024,0.000869024,0.000869024
24,928.57,0.9963,0.88072,1.09863,0.85062,0.8355,0.88291,0.56948,1.36381,1.18559,1.3113,0.000858025,0.000858025,0.000858025
25,968.479,0.97341,0.88139,1.09409,0.80157,0.8441,0.88238,0.59054,1.27887,1.15125,1.26866,0.000847026,0.000847026,0.000847026
26,1007.96,0.99202,0.85291,1.09814,0.91168,0.87261,0.91722,0.62421,1.21238,1.07502,1.19686,0.000836027,0.000836027,0.000836027
27,1047.02,1.01434,0.87261,1.11071,0.85263,0.8909,0.91079,0.60693,1.18129,1.12161,1.1928,0.000825029,0.000825029,0.000825029
28,1088.51,0.99491,0.85206,1.10225,0.66995,0.79558,0.83996,0.57743,1.18009,1.42328,1.15727,0.00081403,0.00081403,0.00081403
29,1128.98,0.99762,0.88918,1.08762,0.9213,0.77045,0.88165,0.63192,1.14517,1.18197,1.17418,0.000803031,0.000803031,0.000803031
30,1169.49,0.95908,0.83755,1.09247,0.79736,0.87273,0.90812,0.64308,1.17462,1.12689,1.15607,0.000792032,0.000792032,0.000792032
31,1210.75,0.94562,0.80028,1.07806,0.87005,0.88223,0.90063,0.61867,1.21458,1.05422,1.17169,0.000781033,0.000781033,0.000781033
32,1251.62,0.90973,0.77336,1.0676,0.91325,0.85821,0.91708,0.6202,1.25676,1.01143,1.21288,0.000770034,0.000770034,0.000770034
33,1292.17,0.94063,0.78683,1.09405,0.79484,0.85022,0.86249,0.59208,1.23949,1.02077,1.19018,0.000759035,0.000759035,0.000759035
34,1335.1,0.953,0.79645,1.08557,0.74822,0.88071,0.85893,0.61613,1.1795,1.13034,1.13033,0.000748036,0.000748036,0.000748036
35,1377.36,0.91391,0.79463,1.06019,0.71121,0.87964,0.80308,0.57847,1.16458,1.19483,1.11393,0.000737037,0.000737037,0.000737037
36,1415.87,0.8795,0.7691,1.04898,0.73118,0.89213,0.87958,0.54773,1.39048,1.12207,1.21858,0.000726038,0.000726038,0.000726038
37,1454.43,0.88408,0.75097,1.04756,0.89736,0.9135,0.86701,0.59731,1.28474,1.0826,1.19641,0.00071504,0.00071504,0.00071504
38,1493.35,0.89077,0.76966,1.07689,0.8882,0.84966,0.85865,0.52888,1.43926,1.19253,1.27707,0.000704041,0.000704041,0.000704041
39,1530.98,0.91634,0.78964,1.07198,0.87455,0.87566,0.87563,0.57052,1.3508,1.1032,1.23439,0.000693042,0.000693042,0.000693042
40,1569.92,0.94034,0.81792,1.06906,0.83261,0.87442,0.89403,0.6238,1.21152,0.96981,1.19289,0.000682043,0.000682043,0.000682043
41,1611.33,0.90171,0.75255,1.0544,0.89883,0.78019,0.92437,0.65643,1.18275,1.02894,1.16967,0.000671044,0.000671044,0.000671044
42,1654.84,0.89221,0.74244,1.05244,0.81132,0.80302,0.91211,0.6408,1.22921,1.10762,1.19479,0.000660045,0.000660045,0.000660045
43,1701.07,0.86966,0.74358,1.03919,0.90162,0.89002,0.9382,0.65849,1.18004,0.87984,1.17002,0.000649046,0.000649046,0.000649046
44,1751.62,0.8835,0.71626,1.05359,0.94639,0.84341,0.9236,0.62931,1.26982,0.93654,1.21919,0.000638047,0.000638047,0.000638047
45,1797.66,0.8733,0.7295,1.04799,0.91395,0.87823,0.92908,0.63399,1.25104,0.89981,1.2354,0.000627048,0.000627048,0.000627048
46,1835.57,0.86245,0.72702,1.06636,0.97912,0.86923,0.9334,0.64477,1.23323,0.84009,1.21038,0.000616049,0.000616049,0.000616049
47,1882.01,0.87223,0.71577,1.05328,0.96568,0.80522,0.91669,0.66365,1.19284,0.90089,1.2061,0.000605051,0.000605051,0.000605051
48,1929.87,0.83264,0.69817,1.03362,0.88945,0.87713,0.91185,0.64929,1.1892,0.89817,1.2044,0.000594052,0.000594052,0.000594052
49,1982.99,0.79815,0.68173,1.02433,0.9297,0.89778,0.92256,0.66401,1.15474,0.82627,1.17223,0.000583053,0.000583053,0.000583053
50,2022.66,0.80521,0.67255,1.01284,0.97292,0.89778,0.92799,0.6845,1.12747,0.86834,1.17979,0.000572054,0.000572054,0.000572054
51,2061.16,0.81051,0.68022,1.03354,0.96933,0.89999,0.94136,0.66843,1.1699,0.84267,1.16553,0.000561055,0.000561055,0.000561055
52,2098.81,0.80047,0.65214,1.01148,0.96978,0.93778,0.94106,0.66183,1.18064,0.75787,1.15602,0.000550056,0.000550056,0.000550056
53,2134.47,0.76682,0.64237,1.004,0.97672,0.93491,0.93906,0.65727,1.20777,0.77376,1.1694,0.000539057,0.000539057,0.000539057
54,2170.86,0.76954,0.6329,1.01042,0.92412,0.92148,0.90458,0.62715,1.23853,0.81652,1.18015,0.000528058,0.000528058,0.000528058
55,2207.1,0.80842,0.66308,1.0175,0.88011,0.89358,0.9022,0.63044,1.22845,0.90955,1.18153,0.000517059,0.000517059,0.000517059
56,2243.64,0.76842,0.65479,1.01005,0.86593,0.9048,0.90299,0.6369,1.17643,0.90385,1.20294,0.00050606,0.00050606,0.00050606
57,2281.53,0.80544,0.65603,1.02828,0.88399,0.92729,0.9064,0.62531,1.15433,0.83649,1.18306,0.000495062,0.000495062,0.000495062
58,2319.22,0.78197,0.65033,1.00559,0.81042,0.92724,0.90833,0.64653,1.13345,0.78619,1.13692,0.000484063,0.000484063,0.000484063
59,2355.34,0.71348,0.60256,0.9853,0.90869,0.77652,0.90938,0.62991,1.14195,0.83132,1.18502,0.000473064,0.000473064,0.000473064
60,2391.77,0.74869,0.62725,0.9951,0.90795,0.84573,0.92325,0.64025,1.1443,0.83665,1.18699,0.000462065,0.000462065,0.000462065
61,2428.2,0.72294,0.60278,0.99983,0.94356,0.84756,0.92035,0.64476,1.20978,0.86459,1.20585,0.000451066,0.000451066,0.000451066
62,2466,0.7806,0.65771,1.02365,0.91798,0.88815,0.92689,0.63776,1.19403,0.86606,1.22376,0.000440067,0.000440067,0.000440067
63,2502.86,0.70782,0.61004,0.98831,0.91843,0.88307,0.92691,0.63863,1.20034,0.84032,1.2372,0.000429068,0.000429068,0.000429068
64,2542.65,0.71667,0.62398,0.99675,0.90472,0.91424,0.93364,0.66925,1.18295,0.84395,1.21552,0.000418069,0.000418069,0.000418069
65,2580.26,0.76137,0.6262,1.01403,0.8855,0.91593,0.93588,0.67637,1.11308,0.82483,1.14376,0.00040707,0.00040707,0.00040707
